id	filename	md5	size	state
00dfe17f-1790-47fa-8507-4d1d8ce42cbb	jhu-usc.edu_STAD.HumanMethylation450.16.lvl-3.TCGA-VQ-A928-01A-11D-A411-05.gdc_hg38.txt	34e2be16185b041f0d5eba35c3564815	141282123	validated
00e0a9d1-cb15-48dd-9a0c-93eb6631a589	jhu-usc.edu_LUAD.HumanMethylation450.15.lvl-3.TCGA-97-A4M0-01A-11D-A24U-05.gdc_hg38.txt	9798f99cc7df789dbc7a5644e7ff0f79	141256311	validated
00e6c633-7b4d-4c88-96f0-14b3f63670d7	jhu-usc.edu_BRCA.HumanMethylation450.9.lvl-3.TCGA-BH-A1EV-01A-11D-A138-05.gdc_hg38.txt	a5978c377cb02c371632342d53e9ebf1	141285254	validated
00e912ed-409a-4341-9c82-47ba4214164c	jhu-usc.edu_KIRP.HumanMethylation450.2.lvl-3.TCGA-DZ-6133-11A-01D-1963-05.gdc_hg38.txt	49e3d5a65e4ec5043a3000779afa6eb5	141291963	validated
00fbb7bf-b569-4df9-993e-c81d65b11438	jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E2-A1IF-01A-11D-A145-05.gdc_hg38.txt	2ea1e6c22e00285d6609263f702f7245	141285809	validated
00ff6010-65c6-4738-8b92-31e5f34b88d1	jhu-usc.edu_CHOL.HumanMethylation450.1.lvl-3.TCGA-W5-AA31-11A-11D-A418-05.gdc_hg38.txt	0f2fde463b0ce88c292200013324dcf2	141227522	validated
0109ef6d-ce28-470a-9155-22f82c526b78	jhu-usc.edu_SKCM.HumanMethylation450.6.lvl-3.TCGA-EB-A44N-01A-11D-A25S-05.gdc_hg38.txt	e5a5d779bd789e4e921f85c4722ce61b	141289994	validated
010dad56-1161-475d-b4f9-41ecb9051f8a	jhu-usc.edu_UCEC.HumanMethylation450.8.lvl-3.TCGA-EY-A1GM-01A-12D-A14H-05.gdc_hg38.txt	318e67b9585a1d9c307475d295055757	141288666	validated
01107b81-4d60-477b-94b5-1372ac2ec6f5	jhu-usc.edu_LUSC.HumanMethylation450.3.lvl-3.TCGA-22-5480-01A-01D-1633-05.gdc_hg38.txt	9e5fd20f01a5635d1183cd256f7def86	141288437	validated
01180dad-01de-48d7-9e3f-d86372c78cf0	jhu-usc.edu_THCA.HumanMethylation450.6.lvl-3.TCGA-ET-A2N0-01A-11D-A18G-05.gdc_hg38.txt	89e6a77515754b6556992b41f93d42f7	141293362	validated
011d0255-2513-419a-b36b-e7cefee4f54c	jhu-usc.edu_LGG.HumanMethylation450.13.lvl-3.TCGA-KT-A74X-01A-11D-A32C-05.gdc_hg38.txt	2151b66bdebc32996379f5876779d52d	141278908	validated
011e91f0-72b2-4202-9eb9-3bf931788b7e	jhu-usc.edu_LGG.HumanMethylation450.2.lvl-3.TCGA-DU-6404-02B-11D-A368-05.gdc_hg38.txt	9ef3710084fb7d184ffc52b941a454b0	141294309	validated
011e9b92-d1eb-4268-b21f-74093b13cd40	jhu-usc.edu_THCA.HumanMethylation450.6.lvl-3.TCGA-BJ-A2P4-01A-11D-A18G-05.gdc_hg38.txt	ba967ed03cf76a776056c3a4dddbb414	141291833	validated
0127a379-edf8-4cd7-bb0a-071c684b909f	jhu-usc.edu_CHOL.HumanMethylation450.1.lvl-3.TCGA-W6-AA0S-01A-11D-A418-05.gdc_hg38.txt	766d54f4ef491cf58797150bb4cca345	141228399	validated
0128f827-06f6-44a2-a819-c93929b5b6d2	jhu-usc.edu_KIRP.HumanMethylation450.2.lvl-3.TCGA-BQ-7045-11A-01D-1963-05.gdc_hg38.txt	a8e6d8936b41072d666395c2acd90172	141292199	validated
012d2c13-d3cb-4980-9dcf-ab997bcbc38f	jhu-usc.edu_UCEC.HumanMethylation450.3.lvl-3.TCGA-D1-A0ZS-01A-11D-A123-05.gdc_hg38.txt	7ae286560b4fc5945e07f5bd74584390	141285547	validated
012f97bf-9a01-4440-b266-54026698b28b	jhu-usc.edu_SKCM.HumanMethylation450.1.lvl-3.TCGA-D3-A2JC-06A-11D-A19D-05.gdc_hg38.txt	0617d797e89133416b0b25bdde4f0b61	141285397	validated
013716a1-4010-426e-8b5e-7fb6b592e439	jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-C4-A0F7-01A-11D-A10W-05.gdc_hg38.txt	6504f42f3ebcc008cf39b32873ba021a	141297220	validated
014a02e2-c76e-4302-847a-42be6bb056f5	jhu-usc.edu_PRAD.HumanMethylation450.8.lvl-3.TCGA-KK-A59Z-01A-12D-A26N-05.gdc_hg38.txt	87149848d1e704d43477c368fbf08bc4	141283874	validated
014a467c-ef2e-4063-8948-91ddbd75ea90	jhu-usc.edu_STAD.HumanMethylation450.2.lvl-3.TCGA-D7-6522-01A-11D-1801-05.gdc_hg38.txt	b8c1e76e2f7ac8a59b90519efedceb81	141271887	validated
014f3368-c1c1-4061-990b-fab4d5a72db6	jhu-usc.edu_KIRC.HumanMethylation450.2.lvl-3.TCGA-BP-4993-11A-01D-1418-05.gdc_hg38.txt	7846e6eabecd09e3e52e08be5f879ca2	141300089	validated
0151efe4-fbea-42ec-b9c9-91c49e81a17a	jhu-usc.edu_THCA.HumanMethylation450.12.lvl-3.TCGA-EM-A3FR-01A-11D-A223-05.gdc_hg38.txt	eb70a5f3da1ef1d52a291b055285cfc1	141288554	validated
0158a327-7867-4b82-966f-dc691a39a933	jhu-usc.edu_LGG.HumanMethylation450.9.lvl-3.TCGA-HW-A5KK-01A-11D-A27L-05.gdc_hg38.txt	86ab92d2048d7bea440bf2b5d7a389eb	141292255	validated
015a341f-1489-46d1-8d54-5079fb90392b	jhu-usc.edu_THCA.HumanMethylation450.11.lvl-3.TCGA-EM-A3FL-01A-11D-A21B-05.gdc_hg38.txt	d15d502f21b9262cf9b5bfc088d147cc	141288616	validated
016b9b3a-c278-496e-87ef-140d81e7eb8e	jhu-usc.edu_LUAD.HumanMethylation450.18.lvl-3.TCGA-4B-A93V-01A-11D-A398-05.gdc_hg38.txt	4999b583dfff703f399b971c51973899	141281123	validated
0170d93a-4b2b-4387-a12a-34719706baa2	jhu-usc.edu_LUSC.HumanMethylation450.16.lvl-3.TCGA-NK-A5CX-01A-11D-A26N-05.gdc_hg38.txt	e7e2477750dbb510e46abc2d6b7c12ae	141286379	validated
01735a39-0f74-4482-bcc4-6517b919bb0f	jhu-usc.edu_LGG.HumanMethylation450.1.lvl-3.TCGA-DB-5281-01A-01D-1467-05.gdc_hg38.txt	54b4e25450d4d3def70a3e733d3acfab	141277051	validated
01784edc-9f9e-440d-930f-eac65d145cde	jhu-usc.edu_KIRC.HumanMethylation450.5.lvl-3.TCGA-CJ-5679-01A-11D-1536-05.gdc_hg38.txt	05a0e41bb24ada4c7097e57fec35db1e	141290688	validated
017fda68-2aa3-48a5-89dd-e1e33e7baca6	jhu-usc.edu_LUAD.HumanMethylation450.4.lvl-3.TCGA-44-6775-01A-11D-1856-05.gdc_hg38.txt	08efbd79d0df514b7cacc4e948482878	141246837	validated
01858a01-764e-4532-b1d1-b6e6328fe6fb	jhu-usc.edu_LUAD.HumanMethylation450.8.lvl-3.TCGA-55-7914-01A-11D-2168-05.gdc_hg38.txt	732b38d5c9e0be7f54f9a8066f39a12a	141249217	validated
018a159d-ff8e-486d-8078-47013985de98	jhu-usc.edu_BLCA.HumanMethylation450.17.lvl-3.TCGA-PQ-A6FN-01A-11D-A31M-05.gdc_hg38.txt	003e3f8a3468685b0016b028d9a08666	141278903	validated
019ad531-bde6-4ca2-bdfd-0dcd5f5d50ee	jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-BH-A0H7-01A-13D-A10P-05.gdc_hg38.txt	78ccba6f6a6fabbeed8ca4e9f6861d84	141251142	validated
01b0e614-4561-43ee-9f6a-d8ccadde57d1	jhu-usc.edu_LUSC.HumanMethylation450.3.lvl-3.TCGA-22-5471-11A-01D-1633-05.gdc_hg38.txt	f9a9ee8e2a649769c15ac5fc250f17dc	141305149	validated
01b2adc9-d498-42cb-8683-343868a84950	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-BP-5187-01A-01D-1424-05.gdc_hg38.txt	d794f5fb8a3046c9ee842c54f493854f	141302085	validated
01cbf0ea-4b4b-4d35-90e0-523a8930b91f	jhu-usc.edu_LUSC.HumanMethylation450.3.lvl-3.TCGA-22-5478-01A-01D-1633-05.gdc_hg38.txt	4ce5f2e16a5d23997b45b5676a154d24	141297474	validated
01d40d86-5f71-4ea7-b04d-68e97a508e35	jhu-usc.edu_PRAD.HumanMethylation450.13.lvl-3.TCGA-EJ-7312-01B-21D-A32C-05.gdc_hg38.txt	c673060a18a0509bca7ae1abd44d3200	141177041	validated
01d67c5f-3388-4b0a-a867-bd373d027e66	jhu-usc.edu_BRCA.HumanMethylation450.16.lvl-3.TCGA-D8-A27L-01A-11D-A16G-05.gdc_hg38.txt	93b0048e2886334837b269a5c22ce93d	141281663	validated
01f28b9f-549a-4a44-88cd-5acbd2de91d3	jhu-usc.edu_LGG.HumanMethylation450.6.lvl-3.TCGA-HT-7680-01A-11D-2254-05.gdc_hg38.txt	7ed5a9bf6192b0ddda8cd59a14ce1b1e	141293843	validated
0200ffc1-fce9-4b7f-be2c-685f8b27c025	jhu-usc.edu_LGG.HumanMethylation450.13.lvl-3.TCGA-HT-A74L-01A-11D-A32C-05.gdc_hg38.txt	b92bd1a5cd4985efc0ecb30d5187a0c7	141277135	validated
02135400-b817-480a-9a27-d0c6e0fe6f0a	jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-E2-A1AZ-01A-11D-A12R-05.gdc_hg38.txt	67d26ef9640bbcc763399e4c12ac1d37	141284724	validated
02136da5-d041-4d16-af90-357ffd1de27d	jhu-usc.edu_LGG.HumanMethylation450.6.lvl-3.TCGA-HT-7620-01A-11D-2254-05.gdc_hg38.txt	338921c14dc28334607ae350aa22bbc3	141278169	validated
