,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.99,0.9400000000000001,0.9418181818181818,0.9399498746867169,0.011242983405220184,0.05691516896763582,0.009999999999999986,0.9965454545454545,0.9746273448773449,0.01224744871391589,0.07999999999999999,0.07916924020755359,0.07349499173131877,0.008818843448312049,0.027897578915309727,0.012247448713915888,0.006041180991213162,0.04257146478462563
Brain,0.9983333333333334,0.9800000000000001,1.0,0.9894736842105264,0.003192461251500299,0.02869934936601065,0.0016666666666666607,1.0,1.0,0.003333333333333322,0.03999999999999999,0.0,0.021052631578947347,0.002310624336885886,0.0061136961064894866,0.003333333333333322,0.0,0.0
Breast,0.9650000000000001,0.9400000000000001,0.7582905982905983,0.8262438705459301,0.025729219231298762,0.08859945524963665,0.03499999999999999,0.998,0.978944832944833,0.019293061504650374,0.07999999999999999,0.14817505782342713,0.07805127297308825,0.011004241971989353,0.02695884138829435,0.019293061504650377,0.002840090791238799,0.03149843877488814
Bronchus & Lung,0.975,0.82,0.8799999999999999,0.8399282296650717,0.020684451415177905,0.08590965037418538,0.025000000000000022,0.9845454545454546,0.883771056794083,0.021081851067789217,0.17204650534085253,0.1240071682515885,0.14118101154260035,0.017171737226503083,0.057543360335346266,0.021081851067789217,0.020522110632032672,0.13555463196291595
Cervix,1.0,1.0,1.0,1.0,0.002181034390256617,0.026286831104594437,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0002997049798810927,0.0012958594890655874,0.0,0.0,0.0
Corpus,0.9933333333333334,0.9200000000000002,1.0,0.9541795665634675,0.010382180480727102,0.050785126691201034,0.006666666666666665,0.9965454545454545,0.9795560224089636,0.009718253158075509,0.11661903789690603,0.0,0.06843155852827741,0.01265439658260608,0.0374559575358372,0.009718253158075509,0.0069090909090908864,0.04088795518207284
Kidney,0.9733333333333333,0.74,0.9373737373737374,0.7822890559732664,0.02050481229078267,0.07876510199789744,0.02666666666666666,0.9885454545454545,0.9452315683224958,0.02438123139721298,0.29393876913398137,0.08722033593908243,0.2413791618885958,0.015724260626427206,0.04356431861746808,0.02438123139721298,0.015185900376597155,0.0647733334454742
Liver,0.9816666666666667,0.9400000000000001,0.8868181818181817,0.9021001221001221,0.015800349801014985,0.07019787002226816,0.018333333333333358,0.9936363636363638,0.9263366954682744,0.016996731711975965,0.07999999999999999,0.13772352230117166,0.07738961185360509,0.009901960114742994,0.030345816782307664,0.01699673171197597,0.00718124278477507,0.1051914612239308
Prostate,1.0,1.0,1.0,1.0,0.0023307943731823077,0.02693577731436808,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00039829978798120905,0.0016131381998173418,0.0,0.0,0.0
Stomach,0.9883333333333333,0.96,0.9228571428571428,0.936140350877193,0.009560497429734739,0.04903733604385131,0.011666666666666669,0.9967272727272727,0.9337958152958151,0.012472191289246475,0.04898979485566354,0.11124527047961019,0.06349423115501239,0.008342319693477207,0.025019526637264432,0.012472191289246475,0.0061010769947500276,0.12768917142322447
Thyroid,0.9966666666666667,0.9800000000000001,0.9818181818181818,0.9799498746867169,0.004853973616082951,0.03446552357868692,0.0033333333333333214,1.0,1.0,0.004082482904638616,0.03999999999999999,0.036363636363636376,0.02460739390202221,0.0034113545516870443,0.011050729627048759,0.004082482904638615,0.0,0.0
Normal,0.975,0.8,0.8805555555555555,0.8362573099415205,0.019673123051238205,0.08265540179125426,0.025,0.9861818181818182,0.8834546844363732,0.0258198889747161,0.18973665961010275,0.1540602735984672,0.17033512734269873,0.016157182291951986,0.04714429859435155,0.0258198889747161,0.015968978190942913,0.15415946096705824
macro,0.9183333333333333,0.9183333333333333,0.9324609649609649,0.915542661604211,0.012177990061351394,0.05660438270846585,0.08166666666666669,0.9950606060606061,0.9939698355353167,0.05710613899670605,0.05710613899670605,0.04488544174502553,0.062050903159186786,0.006815954906302588,0.01978736146785926,0.05710613899670605,0.004357055222418357,0.004415908067005069
micro,0.9183333333333333,0.9183333333333333,0.9183333333333333,0.9183333333333333,0.012177990061351394,0.05660438270846585,0.08166666666666669,0.9959520202020201,0.9650093087075472,0.05710613899670605,0.05710613899670605,0.05710613899670605,0.05710613899670605,0.006815954906302588,0.01978736146785926,0.05710613899670605,0.0035889147063580657,0.03244417425891
